id_img,label
10052,happy
10065,sad
10079,angry
10095,angry
10121,fear
10148,sad
10163,angry
10215,sad
1024,neutral
10286,angry
10315,angry
10336,happy
10338,angry
10371,angry
10382,happy
10399,neutral
10415,neutral
10426,angry
10551,sad
10554,angry
10583,neutral
10699,angry
10702,neutral
1071,sad
10743,angry
10746,fear
10818,neutral
10823,neutral
10825,angry
10839,fear
10854,angry
10970,angry
11002,angry
11017,angry
11024,neutral
11028,neutral
1106,angry
11075,sad
11093,angry
11096,sad
11158,neutral
11169,angry
11186,angry
11188,fear
11200,neutral
1124,angry
11266,angry
1127,happy
11337,angry
11342,angry
11400,angry
11421,angry
11467,angry
11561,neutral
11610,angry
11613,angry
11632,sad
11642,neutral
11675,sad
11694,angry
1177,fear
11813,angry
11841,angry
11849,angry
11883,sad
11949,angry
11964,sad
11986,angry
12136,sad
12144,sad
1215,neutral
12171,angry
12183,angry
12230,angry
12237,fear
12307,sad
1235,angry
12352,surprise
12489,sad
12680,angry
12695,sad
12733,fear
12808,angry
12810,angry
12841,disgust
12842,angry
12851,angry
12928,neutral
12945,sad
13029,angry
13041,angry
13057,surprise
13059,angry
13092,neutral
13118,angry
13167,angry
13220,sad
13267,fear
13279,angry
13334,sad
13351,sad
13376,neutral
13395,sad
1340,angry
13431,neutral
1350,happy
13514,angry
13533,angry
13535,angry
1358,sad
13582,fear
13599,fear
13607,angry
13671,angry
13672,angry
13738,angry
13758,neutral
1386,angry
13890,neutral
13978,happy
14022,angry
14030,fear
14058,sad
14108,angry
14118,happy
14120,angry
14148,angry
14185,sad
14206,angry
1422,fear
14243,neutral
14315,angry
14329,angry
14357,angry
14376,angry
1438,neutral
14381,sad
14421,happy
14438,happy
14498,angry
14557,neutral
1460,sad
14706,angry
1477,fear
14775,angry
14821,sad
14831,angry
14870,angry
14945,angry
15074,fear
1508,sad
15138,angry
15172,sad
15190,neutral
15194,angry
15217,sad
15222,angry
15295,sad
15474,fear
15500,sad
15502,sad
1555,neutral
15562,angry
15637,angry
15644,neutral
15654,sad
15699,angry
157,disgust
15709,angry
15712,angry
15715,fear
15725,angry
1575,angry
15771,disgust
1582,sad
15820,sad
15821,sad
15835,angry
1584,sad
15848,angry
15897,sad
15919,angry
15941,happy
15954,sad
15979,sad
16033,neutral
16102,surprise
16169,fear
16222,sad
16233,sad
16287,angry
16292,angry
16380,angry
16406,happy
16410,angry
16413,neutral
16428,sad
16506,fear
16510,fear
16557,neutral
16565,neutral
16643,sad
16659,fear
16681,angry
16711,happy
1672,angry
16764,angry
16768,neutral
16783,neutral
16792,angry
16875,fear
16999,sad
17024,fear
17053,sad
17085,sad
17099,fear
17167,angry
1717,angry
17170,neutral
17186,angry
17209,happy
17211,neutral
17228,sad
17259,angry
17316,angry
17344,angry
1736,sad
17371,angry
17413,sad
17428,fear
17445,sad
17452,neutral
17502,sad
17536,angry
17647,angry
17700,angry
17705,angry
17731,angry
17735,angry
17736,angry
17752,sad
17787,sad
17910,angry
17939,angry
18001,angry
18050,angry
18140,angry
18142,fear
18161,surprise
18166,fear
18183,angry
18200,angry
18247,angry
1825,sad
18254,sad
18284,angry
18376,fear
18380,fear
1841,neutral
18415,sad
18445,angry
18459,fear
18466,angry
18492,sad
18534,angry
18565,neutral
18566,sad
18588,fear
18593,angry
18602,angry
18617,sad
18633,angry
18695,fear
18715,angry
18779,angry
1880,sad
18810,angry
18837,sad
18882,fear
18903,neutral
18949,sad
18983,sad
1899,angry
18994,sad
19014,angry
19060,neutral
19067,sad
1908,fear
19093,sad
19108,angry
19114,neutral
19115,angry
19140,angry
19152,angry
19268,angry
19292,neutral
19309,angry
19392,sad
19476,disgust
19477,sad
19485,sad
1966,angry
19664,neutral
19732,angry
19811,angry
1983,disgust
19832,fear
19877,sad
19906,sad
19923,angry
1994,fear
19950,neutral
19961,happy
2006,angry
20222,angry
20227,sad
20287,surprise
20290,angry
20298,fear
20303,angry
20312,angry
20328,angry
20353,angry
20374,sad
20451,sad
2050,angry
20505,angry
20532,angry
2055,sad
20629,angry
20630,neutral
20635,angry
20640,angry
20653,sad
20673,angry
20686,angry
20736,angry
20739,sad
20796,surprise
20817,happy
20849,neutral
21068,sad
21099,angry
21111,angry
21131,sad
21135,angry
21161,angry
2117,surprise
21173,angry
21284,angry
21371,sad
21374,angry
2142,neutral
21447,fear
21472,angry
21511,angry
21512,happy
21520,surprise
21541,sad
21573,sad
21670,sad
21703,angry
21723,angry
21782,angry
21836,happy
21865,angry
21916,sad
21921,sad
21922,sad
2194,sad
22089,angry
22183,fear
22184,angry
22198,angry
2225,sad
22309,sad
22334,sad
22375,sad
22516,fear
22695,angry
22733,angry
22739,sad
22789,neutral
22807,neutral
22810,neutral
22832,happy
2290,fear
22990,angry
23,happy
23008,sad
23041,sad
23059,angry
23085,neutral
23164,angry
23194,angry
23215,neutral
23230,happy
23246,sad
23327,happy
23404,happy
23468,angry
23473,angry
23488,angry
23521,sad
23532,angry
23749,angry
23780,angry
23783,happy
