id_img,label
10052,angry
10065,fear
10079,angry
10095,angry
10121,angry
10148,angry
10163,angry
10215,sad
1024,neutral
10286,angry
10315,angry
10336,happy
10338,angry
10371,angry
10382,angry
10399,neutral
10415,neutral
10426,angry
10551,sad
10554,angry
10583,neutral
10699,angry
10702,neutral
1071,angry
10743,angry
10746,angry
10818,sad
10823,neutral
10825,angry
10839,happy
10854,angry
10970,angry
11002,angry
11017,angry
11024,angry
11028,neutral
1106,neutral
11075,angry
11093,sad
11096,fear
11158,neutral
11169,happy
11186,angry
11188,fear
11200,angry
1124,angry
11266,neutral
1127,angry
11337,angry
11342,angry
11400,angry
11421,angry
11467,angry
11561,neutral
11610,fear
11613,happy
11632,sad
11642,neutral
11675,sad
11694,angry
1177,angry
11813,angry
11841,angry
11849,angry
11883,fear
11949,angry
11964,angry
11986,neutral
12136,neutral
12144,angry
1215,neutral
12171,sad
12183,angry
12230,angry
12237,fear
12307,sad
1235,angry
12352,surprise
12489,sad
12680,angry
12695,neutral
12733,fear
12808,angry
12810,angry
12841,angry
12842,angry
12851,angry
12928,neutral
12945,angry
13029,angry
13041,angry
13057,surprise
13059,angry
13092,neutral
13118,angry
13167,angry
13220,angry
13267,fear
13279,angry
13334,neutral
13351,sad
13376,neutral
13395,neutral
1340,angry
13431,neutral
1350,neutral
13514,angry
13533,angry
13535,angry
1358,angry
13582,fear
13599,fear
13607,angry
13671,sad
13672,angry
13738,angry
13758,neutral
1386,angry
13890,fear
13978,angry
14022,fear
14030,angry
14058,neutral
14108,angry
14118,sad
14120,angry
14148,neutral
14185,sad
14206,angry
1422,sad
14243,angry
14315,angry
14329,angry
14357,angry
14376,angry
1438,angry
14381,sad
14421,fear
14438,sad
14498,angry
14557,angry
1460,angry
14706,neutral
1477,angry
14775,neutral
14821,angry
14831,angry
14870,angry
14945,angry
15074,angry
1508,fear
15138,angry
15172,fear
15190,angry
15194,disgust
15217,neutral
15222,angry
15295,angry
15474,fear
15500,angry
15502,sad
1555,angry
15562,angry
15637,angry
15644,sad
15654,surprise
15699,neutral
157,disgust
15709,happy
15712,angry
15715,fear
15725,angry
1575,fear
15771,disgust
1582,surprise
15820,sad
15821,angry
15835,angry
1584,angry
15848,angry
15897,sad
15919,angry
15941,fear
15954,happy
15979,angry
16033,neutral
16102,surprise
16169,surprise
16222,sad
16233,sad
16287,angry
16292,angry
16380,angry
16406,angry
16410,angry
16413,fear
16428,neutral
16506,fear
16510,fear
16557,happy
16565,sad
16643,angry
16659,fear
16681,fear
16711,happy
1672,angry
16764,angry
16768,angry
16783,neutral
16792,angry
16875,angry
16999,angry
17024,angry
17053,neutral
17085,happy
17099,angry
17167,angry
1717,angry
17170,neutral
17186,angry
17209,angry
17211,happy
17228,sad
17259,angry
17316,angry
17344,angry
1736,fear
17371,angry
17413,angry
17428,fear
17445,neutral
17452,fear
17502,sad
17536,angry
17647,angry
17700,angry
17705,angry
17731,angry
17735,angry
17736,angry
17752,neutral
17787,sad
17910,angry
17939,angry
18001,neutral
18050,neutral
18140,angry
18142,happy
18161,happy
18166,surprise
18183,disgust
18200,angry
18247,fear
1825,angry
18254,sad
18284,angry
18376,angry
18380,sad
1841,angry
18415,angry
18445,angry
18459,angry
18466,angry
18492,fear
18534,neutral
18565,neutral
18566,angry
18588,angry
18593,angry
18602,angry
18617,sad
18633,angry
18695,fear
18715,angry
18779,angry
1880,sad
18810,angry
18837,angry
18882,angry
18903,sad
18949,happy
18983,neutral
1899,angry
18994,angry
19014,angry
19060,neutral
19067,angry
1908,fear
19093,angry
19108,angry
19114,neutral
19115,angry
19140,angry
19152,sad
19268,angry
19292,angry
19309,sad
19392,sad
19476,angry
19477,neutral
19485,fear
1966,angry
19664,neutral
19732,angry
19811,angry
1983,disgust
19832,angry
19877,sad
19906,neutral
19923,fear
1994,happy
19950,neutral
19961,happy
2006,sad
20222,angry
20227,angry
20287,surprise
20290,angry
20298,surprise
20303,angry
20312,angry
20328,neutral
20353,angry
20374,sad
20451,fear
2050,angry
20505,angry
20532,fear
2055,angry
20629,angry
20630,neutral
20635,angry
20640,angry
20653,fear
20673,angry
20686,angry
20736,angry
20739,angry
20796,angry
20817,fear
20849,angry
21068,angry
21099,sad
21111,angry
21131,happy
21135,angry
21161,angry
2117,angry
21173,angry
21284,neutral
21371,sad
21374,angry
2142,neutral
21447,surprise
21472,angry
21511,angry
21512,happy
21520,angry
21541,fear
21573,sad
21670,sad
21703,angry
21723,angry
21782,angry
21836,neutral
21865,angry
21916,fear
21921,sad
21922,sad
2194,fear
22089,angry
22183,sad
22184,angry
22198,angry
2225,fear
22309,fear
22334,sad
22375,sad
22516,fear
22695,angry
22733,angry
22739,surprise
22789,neutral
22807,neutral
22810,neutral
22832,happy
2290,sad
22990,disgust
23,sad
23008,angry
23041,fear
23059,angry
23085,sad
23164,angry
23194,angry
23215,neutral
23230,neutral
23246,angry
23327,fear
23404,neutral
23468,angry
23473,angry
23488,angry
23521,sad
23532,angry
23749,angry
23780,angry
23783,angry
23814,angry
23847,neutral
23886,fear
24067,angry
2407,happy
24071,angry
24176,angry
24184,angry
24252,sad
24378,angry
24412,neutral
24428,angry
24435,fear
24437,sad
24441,fear
24466,happy
24490,angry
245,angry
24501,sad
24542,angry
24660,surprise
24678,angry
24711,angry
24789,angry
24797,angry
24819,angry
24821,neutral
2484,angry
2486,sad
2487,angry
24886,sad
249,neutral
24959,surprise
24967,surprise
2498,neutral
24992,angry
25082,angry
25088,angry
251,sad
25101,angry
2511,happy
25131,angry
25144,angry
25209,angry
25255,sad
25343,sad
25360,neutral
25435,angry
25528,angry
25542,happy
2557,angry
2558,angry
25612,happy
25681,neutral
25688,sad
25778,happy
25795,angry
2581,neutral
25811,angry
25813,angry
25844,angry
25874,angry
25876,angry
25886,angry
25891,sad
259,happy
25944,angry
25973,neutral
26025,neutral
26038,angry
26059,angry
26121,neutral
26124,neutral
26137,fear
26163,happy
26175,sad
26177,angry
26181,angry
26185,angry
26248,neutral
26264,fear
26267,neutral
26337,angry
26344,angry
26437,neutral
26446,angry
26462,sad
26572,angry
26597,happy
26618,surprise
26620,sad
2668,angry
26725,angry
26789,fear
26845,angry
26860,fear
26886,sad
26899,angry
26900,angry
26919,angry
26928,angry
26956,angry
27016,angry
27022,angry
27054,fear
2709,neutral
2712,angry
27284,angry
27296,angry
27385,angry
27413,neutral
27464,angry
27483,angry
27544,neutral
2762,angry
27652,fear
2770,angry
27704,sad
27715,angry
27726,neutral
27744,angry
27770,neutral
27777,angry
27798,angry
27828,neutral
2791,angry
27967,sad
27982,angry
28015,neutral
28058,angry
28062,angry
28120,angry
28144,surprise
28148,angry
28149,neutral
28207,angry
28248,angry
28288,angry
28300,angry
28401,angry
28438,fear
28498,sad
28509,angry
28543,sad
28547,angry
28560,fear
28585,angry
28614,angry
28618,sad
28620,neutral
28660,angry
28707,neutral
28720,angry
28731,sad
28737,surprise
28743,neutral
28749,angry
28800,fear
28840,neutral
28867,angry
28884,angry
2890,sad
28932,sad
28952,angry
29085,angry
29119,angry
29132,sad
29202,angry
29266,sad
29319,sad
2933,fear
29414,angry
29471,angry
29477,neutral
29493,angry
29523,angry
29527,fear
29554,angry
29571,angry
29581,angry
29588,angry
29614,happy
29669,angry
29685,angry
29730,angry
298,angry
29818,angry
29866,happy
29929,sad
29931,surprise
29947,angry
29977,surprise
29980,angry
30002,angry
30004,neutral
30015,happy
30024,angry
30058,neutral
30059,neutral
30082,angry
30085,angry
30171,angry
3021,angry
30260,neutral
30273,sad
30290,neutral
30305,angry
30320,neutral
30325,fear
30394,angry
30415,neutral
30420,angry
30456,angry
30458,neutral
30460,angry
30490,neutral
30509,happy
30535,angry
30563,neutral
30584,angry
30619,happy
30901,angry
30933,neutral
30944,happy
3099,neutral
31033,angry
31042,angry
31081,neutral
31083,sad
31138,happy
31142,fear
31203,angry
3121,disgust
3137,angry
31491,angry
31529,happy
31544,angry
31609,happy
31635,angry
31693,sad
31703,angry
3176,sad
31849,angry
3186,angry
31873,angry
3188,happy
31928,happy
32023,fear
32024,angry
32153,fear
32161,angry
32223,angry
32231,angry
3226,angry
32278,angry
32281,neutral
32298,angry
32336,neutral
32352,sad
32367,fear
32454,surprise
32464,fear
32473,angry
3248,angry
32481,neutral
32506,happy
32512,angry
32575,sad
32584,angry
32617,fear
32662,happy
32755,angry
32777,angry
33015,angry
3303,fear
33105,angry
33131,fear
33221,angry
3327,fear
33301,happy
33308,happy
3334,sad
33352,angry
33444,fear
33450,angry
33459,angry
33494,angry
33560,neutral
33573,neutral
33633,angry
33666,neutral
3370,angry
33729,angry
3377,fear
338,neutral
33809,angry
33829,neutral
33890,angry
33924,disgust
33926,fear
3393,neutral
33935,disgust
33977,happy
33987,sad
33998,angry
34036,angry
34040,neutral
3412,angry
34138,angry
34151,angry
34175,neutral
34178,angry
34184,angry
34238,angry
34259,sad
34352,fear
34359,surprise
34363,angry
34448,neutral
34474,neutral
3449,neutral
34507,angry
34581,angry
34592,angry
34596,sad
34620,angry
3467,angry
34714,angry
34778,angry
34879,surprise
35009,angry
35010,happy
35028,angry
35041,angry
35059,angry
35145,angry
35149,happy
35162,angry
35210,angry
3522,neutral
35261,sad
35298,angry
35407,angry
35425,angry
35439,angry
35447,angry
35514,angry
3558,sad
3564,angry
35669,neutral
35681,angry
35682,angry
35731,sad
35753,neutral
35805,angry
35809,fear
35820,fear
35828,angry
35881,angry
35884,sad
3599,sad
3632,angry
377,sad
38,angry
3802,angry
3819,fear
3839,sad
3862,neutral
3870,neutral
3913,sad
4015,angry
404,sad
4060,sad
4077,angry
4100,happy
4196,sad
4229,happy
4306,angry
4317,neutral
4324,angry
4349,angry
4384,angry
4396,angry
4397,sad
4459,angry
4468,angry
4502,fear
4579,sad
4616,angry
4637,neutral
4660,happy
4665,angry
4670,angry
4700,angry
4751,fear
4807,angry
4878,angry
4937,sad
5010,angry
5060,neutral
5064,neutral
521,sad
5220,angry
5233,angry
5244,angry
5259,angry
5312,sad
5317,happy
5400,angry
5422,fear
5432,angry
5434,fear
5459,fear
5519,angry
5564,angry
5570,angry
5582,angry
5607,neutral
5610,neutral
5637,sad
5732,angry
5739,fear
5780,angry
5810,fear
5822,angry
5859,sad
5883,neutral
5888,sad
589,surprise
5902,fear
5962,angry
6009,angry
6017,neutral
6075,angry
608,angry
6088,angry
6119,angry
6129,angry
6155,surprise
6225,angry
6232,angry
624,angry
6274,angry
6278,angry
6283,fear
6321,neutral
633,angry
6347,angry
6364,angry
6365,neutral
6375,angry
6390,fear
6420,angry
6426,sad
6471,angry
6484,angry
65,angry
654,neutral
6547,sad
6555,neutral
6561,angry
6566,neutral
6580,angry
6581,angry
6584,surprise
6618,angry
6621,angry
665,sad
6652,angry
6726,angry
6739,neutral
6745,sad
676,sad
6766,angry
6809,angry
6890,sad
6923,angry
6955,angry
6965,angry
7015,angry
7056,angry
7103,sad
7136,fear
7174,angry
7219,angry
7257,angry
7261,angry
727,angry
7284,angry
7291,neutral
7409,angry
7492,disgust
7550,happy
7559,neutral
7589,happy
764,neutral
7655,angry
7668,fear
7729,angry
7777,angry
7793,sad
7811,sad
7886,happy
7919,sad
7937,fear
7979,angry
8000,angry
8001,angry
8052,angry
8096,angry
8103,happy
8130,angry
8151,angry
816,angry
8267,neutral
8275,angry
8299,angry
8402,fear
842,angry
854,fear
8555,angry
8581,neutral
8593,angry
861,surprise
8661,fear
8685,angry
8719,fear
8734,surprise
8902,angry
8916,angry
8969,angry
9012,angry
9059,sad
9100,angry
9156,fear
9266,angry
9293,angry
9331,angry
9400,fear
9567,sad
9615,angry
966,fear
9691,fear
9698,neutral
9715,angry
9748,angry
9785,angry
9802,sad
9811,neutral
9862,neutral
9884,sad
9931,angry
10053,disgust
10435,disgust
10532,angry
1115,disgust
11222,disgust
11529,disgust
11639,disgust
12417,disgust
12753,angry
13372,disgust
13597,fear
13652,sad
13847,disgust
14041,sad
14869,fear
14954,angry
14958,disgust
15110,sad
16021,disgust
16054,disgust
16121,disgust
16264,sad
16718,disgust
17260,angry
18077,neutral
1843,disgust
18464,disgust
18716,angry
19649,fear
19734,disgust
19770,disgust
19801,angry
19831,disgust
20761,disgust
21744,disgust
21765,disgust
21851,disgust
22320,disgust
2275,sad
23141,disgust
23153,sad
23665,angry
23876,fear
24578,angry
25267,angry
25538,disgust
25541,happy
26859,happy
2732,sad
2742,disgust
28332,angry
28390,surprise
28710,fear
28987,angry
29158,disgust
29269,disgust
30347,fear
30428,disgust
30499,disgust
30601,disgust
30719,disgust
30761,disgust
30907,neutral
3101,disgust
31232,angry
31323,neutral
31796,neutral
31828,disgust
32487,surprise
32681,disgust
33209,angry
33284,disgust
33561,disgust
33670,disgust
33995,disgust
34022,angry
34432,disgust
34505,disgust
34519,angry
3521,angry
35376,disgust
35580,disgust
3690,surprise
3778,disgust
4002,sad
4004,disgust
4265,angry
4312,angry
4481,disgust
4737,angry
5085,disgust
533,disgust
573,disgust
6231,disgust
6926,disgust
7068,disgust
7192,disgust
7405,fear
7455,disgust
7592,disgust
7835,disgust
807,disgust
8415,angry
8585,disgust
8726,disgust
8893,disgust
8948,angry
9043,surprise
9297,disgust
9460,disgust
9504,fear
10029,angry
10043,surprise
10044,fear
1008,fear
10099,fear
101,neutral
10189,fear
10263,neutral
10267,fear
10278,fear
10292,angry
10355,fear
10409,surprise
10437,angry
10443,sad
10445,sad
10458,fear
10489,fear
10493,surprise
10534,surprise
1075,sad
10758,fear
1079,sad
10797,fear
10832,angry
10933,fear
10944,happy
10968,angry
10979,fear
11030,fear
11036,angry
11039,neutral
11054,surprise
11057,neutral
11104,neutral
11112,fear
11137,surprise
11143,happy
11146,sad
1116,fear
1128,surprise
1133,fear
11353,fear
11360,fear
1137,neutral
11381,surprise
11412,fear
11416,fear
11471,angry
11536,fear
1154,neutral
11559,surprise
11587,sad
11653,fear
11682,fear
11687,sad
1169,neutral
11704,fear
11706,surprise
11727,sad
11729,sad
11747,neutral
11754,angry
11774,neutral
11816,sad
11855,angry
11904,fear
1193,surprise
11944,surprise
11968,fear
11999,sad
12063,angry
12125,fear
12255,fear
12259,happy
12313,surprise
12334,angry
12350,surprise
12383,happy
12431,fear
12440,neutral
12472,neutral
12496,sad
12527,fear
12578,sad
12592,fear
12634,angry
12674,fear
12676,angry
12698,surprise
12712,angry
12737,surprise
12809,fear
12891,sad
12948,surprise
12986,sad
12988,sad
13067,neutral
13071,neutral
131,fear
13114,fear
13121,fear
13152,fear
13179,fear
13233,fear
1325,neutral
13250,angry
13252,neutral
13301,surprise
13306,fear
13308,fear
13310,disgust
13362,fear
13394,fear
13405,fear
1343,angry
13482,fear
13486,sad
13518,angry
13549,surprise
13561,surprise
13585,angry
13587,fear
13593,sad
13596,sad
13638,angry
13664,surprise
1367,fear
13683,neutral
13694,surprise
13798,surprise
13855,angry
1389,sad
13899,neutral
13913,sad
